,0,1,label,outlier
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/002/97/00297__087.jpg,26.659443,13.447313,Asteraceae Ageratina jucunda,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/029/87/02987__096.jpg,18.514757,-18.57571,Asteraceae Carphephorus paniculatus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/08/04108__021.jpg,-29.067924,-20.001364,Asteraceae Crepis acuminata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/27/01927__007.jpg,9.639985,27.070469,Asteraceae Bidens vulgata,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/011/34/01134__013.jpg,4.252371,8.616837,Asteraceae Arnica sororia,TRUE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/021/66/02166__080.jpg,1.7027838,-13.741621,Asteraceae Brickellia longifolia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/61/08361__077.jpg,17.533787,-27.52655,Asteraceae Liatris pilosa,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/019/05/01905__019.jpg,-2.6717489,30.592106,Asteraceae Bidens beckii,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/072/67/07267__035.jpg,-6.1627064,3.3987157,Asteraceae Heterotheca pumila,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/61/08361__063.jpg,16.134138,-27.072765,Asteraceae Liatris pilosa,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/26/05626__097.jpg,-24.844318,13.935787,Asteraceae Erigeron melanocephalus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/101/83/10183__086.jpg,7.352042,-5.539128,Asteraceae Packera crocata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/45/05645__072.jpg,-22.93179,17.826473,Asteraceae Erigeron pulcherrimus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/011/34/01134__048.jpg,4.631761,8.637428,Asteraceae Arnica sororia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/101/83/10183__029.jpg,9.186444,-4.2140393,Asteraceae Packera crocata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/121/72/12172__062.jpg,25.419657,-6.7895565,Asteraceae Pterocaulon pycnostachyum,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/066/23/06623__007.jpg,31.611471,1.8857658,Asteraceae Garberia heterophylla,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/083/61/08361__007.jpg,16.163622,-25.836025,Asteraceae Liatris pilosa,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/80/06280__039.jpg,21.905201,11.886237,Asteraceae Eurybia divaricata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/035/05/03505__001.jpg,15.736765,-11.422591,Asteraceae Chrysopsis subulata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/53/05353__106.jpg,1.3337632,16.57866,Asteraceae Encelia californica,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/063/17/06317__027.jpg,23.065422,7.19169,Asteraceae Eutrochium dubium,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/035/05/03505__056.jpg,13.060525,-12.811711,Asteraceae Chrysopsis subulata,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/64/05664__057.jpg,-28.507866,5.7818737,Asteraceae Erigeron tener,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/062/96/06296__089.jpg,16.557129,2.6324322,Asteraceae Eurybia spectabilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/011/20/01120__038.jpg,10.997688,10.614169,Asteraceae Arnica gracilis,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/041/12/04112__089.jpg,-30.674295,-16.345648,Asteraceae Crepis intermedia,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/053/53/05353__033.jpg,1.6808286,16.50922,Asteraceae Encelia californica,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/056/26/05626__002.jpg,-23.582949,14.0061245,Asteraceae Erigeron melanocephalus,FALSE
/projectnb/herbdl/data/kaggle-herbaria/herbarium-2022/train_images/101/83/10183__097.jpg,8.197522,-3.3503053,Asteraceae Packera crocata,FALSE
