label,label_str,total,correct,accuracy,precision,recall,f1
9543,Malvaceae Iliamna remota,16,15,0.9375,0.75,0.9375,0.8333333333333334
12694,Polemoniaceae Gilia clokeyi,9,4,0.4444444444444444,0.5,0.4444444444444444,0.47058823529411764
12708,Polemoniaceae Gilia ophthalmoides,8,2,0.25,0.15384615384615385,0.25,0.1904761904761905
4603,Bromeliaceae Tillandsia variabilis,12,11,0.9166666666666666,0.6470588235294118,0.9166666666666666,0.7586206896551724
5273,Combretaceae Terminalia buceras,11,10,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
9794,Melastomataceae Miconia elaeagnoides,22,22,1.0,0.88,1.0,0.9361702127659575
1423,Asparagaceae Yucca elata,8,3,0.375,0.21428571428571427,0.375,0.2727272727272727
1018,Araceae Anthurium lucens,7,7,1.0,0.5833333333333334,1.0,0.7368421052631579
11090,Petiveriaceae Hilleria latifolia,7,7,1.0,1.0,1.0,1.0
9309,Loasaceae Mentzelia nitens,16,8,0.5,0.5,0.5,0.5
11388,Plantaginaceae Penstemon albomarginatus,4,4,1.0,0.8,1.0,0.888888888888889
9789,Melastomataceae Miconia angustifolia,14,12,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.888888888888889
8508,Iridaceae Eleutherine bulbosa,5,5,1.0,0.8333333333333334,1.0,0.9090909090909091
14504,Salicaceae Casearia aculeata,12,9,0.75,0.6,0.75,0.6666666666666665
3,Acanthaceae Anisacanthus thurberi,9,8,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353
11376,Plantaginaceae Mohavea confertiflora,11,9,0.8181818181818182,1.0,0.8181818181818182,0.9
14661,Sapindaceae Acer spicatum,14,13,0.9285714285714286,0.8666666666666667,0.9285714285714286,0.896551724137931
8477,Hypericaceae Hypericum lobocarpum,16,12,0.75,0.7058823529411765,0.75,0.7272727272727272
8487,Hypericaceae Hypericum pseudomaculatum,18,11,0.6111111111111112,0.7857142857142857,0.6111111111111112,0.6875000000000001
9194,Liliaceae Lilium michauxii,10,7,0.7,1.0,0.7,0.8235294117647058
3614,Betulaceae Betula lenta,11,7,0.6363636363636364,0.5,0.6363636363636364,0.56
3617,Betulaceae Betula nigra,23,21,0.9130434782608695,0.875,0.9130434782608695,0.8936170212765957
5046,Caryophyllaceae Paronychia baldwinii,12,11,0.9166666666666666,0.7857142857142857,0.9166666666666666,0.8461538461538461
11947,Poaceae Dichanthelium transiens,17,12,0.7058823529411765,0.8,0.7058823529411765,0.7500000000000001
11936,Poaceae Dichanthelium oligosanthes,14,8,0.5714285714285714,0.5,0.5714285714285714,0.5333333333333333
222,Amaranthaceae Blitum capitatum,15,11,0.7333333333333333,0.7857142857142857,0.7333333333333333,0.7586206896551724
