label,label_str,total,correct,accuracy,precision,recall,f1
9543,Malvaceae Iliamna remota,16,12,0.75,0.631578947368421,0.75,0.6857142857142857
12694,Polemoniaceae Gilia clokeyi,9,7,0.7777777777777778,0.5384615384615384,0.7777777777777778,0.6363636363636364
4603,Bromeliaceae Tillandsia variabilis,12,12,1.0,0.8571428571428571,1.0,0.923076923076923
5273,Combretaceae Terminalia buceras,11,11,1.0,0.7333333333333333,1.0,0.846153846153846
9794,Melastomataceae Miconia elaeagnoides,22,21,0.9545454545454546,0.9130434782608695,0.9545454545454546,0.9333333333333332
1423,Asparagaceae Yucca elata,8,0,0.0,0.0,0.0,0.0
1430,Asparagaceae Yucca harrimaniae,6,6,1.0,0.20689655172413793,1.0,0.34285714285714286
1018,Araceae Anthurium lucens,7,6,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923
11090,Petiveriaceae Hilleria latifolia,7,7,1.0,1.0,1.0,1.0
9309,Loasaceae Mentzelia nitens,16,6,0.375,0.6,0.375,0.4615384615384615
11388,Plantaginaceae Penstemon albomarginatus,4,4,1.0,1.0,1.0,1.0
9789,Melastomataceae Miconia angustifolia,14,13,0.9285714285714286,0.8666666666666667,0.9285714285714286,0.896551724137931
8508,Iridaceae Eleutherine bulbosa,5,4,0.8,0.8,0.8,0.8000000000000002
14504,Salicaceae Casearia aculeata,12,6,0.5,0.5454545454545454,0.5,0.5217391304347826
10098,Oleaceae Forestiera segregata,15,9,0.6,0.5294117647058824,0.6,0.5625
3,Acanthaceae Anisacanthus thurberi,9,8,0.8888888888888888,0.8,0.8888888888888888,0.8421052631578948
11376,Plantaginaceae Mohavea confertiflora,11,10,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
14661,Sapindaceae Acer spicatum,14,13,0.9285714285714286,1.0,0.9285714285714286,0.962962962962963
8477,Hypericaceae Hypericum lobocarpum,16,10,0.625,0.7692307692307693,0.625,0.6896551724137931
8474,Hypericaceae Hypericum kalmianum,13,12,0.9230769230769231,0.5454545454545454,0.9230769230769231,0.6857142857142856
9194,Liliaceae Lilium michauxii,10,7,0.7,0.875,0.7,0.7777777777777777
9195,Liliaceae Lilium michiganense,10,10,1.0,0.4,1.0,0.5714285714285715
3614,Betulaceae Betula lenta,11,6,0.5454545454545454,0.75,0.5454545454545454,0.631578947368421
7383,Fabaceae Chamaecrista flexuosa,10,9,0.9,0.6923076923076923,0.9,0.7826086956521738
5046,Caryophyllaceae Paronychia baldwinii,12,8,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272
11947,Poaceae Dichanthelium transiens,17,13,0.7647058823529411,0.8666666666666667,0.7647058823529411,0.8125
11940,Poaceae Dichanthelium ravenelii,19,19,1.0,0.5428571428571428,1.0,0.7037037037037037
