label,label_str,total,correct,accuracy,precision,recall,f1
63695,Vochysiaceae Qualea tessmannii,1,0,0.0,0.0,0.0,0.0
3781,Aquifoliaceae Ilex myrtifolia,8,7,0.875,0.3684210526315789,0.875,0.5185185185185185
31572,Lamiaceae Ballota nigra,11,11,1.0,0.9166666666666666,1.0,0.9565217391304348
38187,Melastomataceae Trembleya phlogiformis,11,8,0.7272727272727273,0.8888888888888888,0.7272727272727273,0.7999999999999999
63306,Violaceae Viola bakeri,8,6,0.75,0.42857142857142855,0.75,0.5454545454545454
59169,Sapotaceae Micropholis sanctae-rosae,1,1,1.0,1.0,1.0,1.0
5513,Aspleniaceae Asplenium praemorsum,40,36,0.9,0.9230769230769231,0.9,0.9113924050632911
13141,Bromeliaceae Tillandsia usneoides,65,65,1.0,0.9420289855072463,1.0,0.9701492537313433
52856,Primulaceae Ardisia escallonioides,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
19378,Cyperaceae Rhynchospora megalocarpa,19,18,0.9473684210526315,1.0,0.9473684210526315,0.972972972972973
28824,Fagaceae Quercus candicans,7,6,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.75
33796,Loasaceae Mentzelia speciosa,10,9,0.9,0.45,0.9,0.6
45709,Phyllanthaceae Phyllanthus juglandifolius,13,10,0.7692307692307693,0.625,0.7692307692307693,0.6896551724137931
49339,Poaceae Koeleria macrantha,27,18,0.6666666666666666,0.6206896551724138,0.6666666666666666,0.6428571428571429
50246,Poaceae Poa secunda,279,267,0.956989247311828,0.8140243902439024,0.956989247311828,0.8797364085667215
55362,Rosaceae Rubus cuneifolius,22,22,1.0,0.7857142857142857,1.0,0.88
59962,Selaginellaceae Selaginella sylvestris,4,3,0.75,1.0,0.75,0.8571428571428571
54929,Rosaceae Fragaria virginiana,93,88,0.946236559139785,0.7521367521367521,0.946236559139785,0.838095238095238
13042,Bromeliaceae Tillandsia flexuosa,16,15,0.9375,1.0,0.9375,0.967741935483871
39760,Myrtaceae Corymbia blakei,6,4,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272
29917,Grossulariaceae Ribes echinellum,9,8,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353
55332,Rosaceae Rosa woodsii,124,102,0.8225806451612904,0.864406779661017,0.8225806451612904,0.8429752066115702
55282,Rosaceae Rosa arkansana,32,20,0.625,0.4,0.625,0.48780487804878053
10101,Asteraceae Xanthium strumarium,98,97,0.9897959183673469,0.9797979797979798,0.9897959183673469,0.9847715736040609
5550,Aspleniaceae Asplenium schizophyllum,8,6,0.75,1.0,0.75,0.8571428571428571
16419,Convolvulaceae Cuscuta umbrosa,3,0,0.0,0.0,0.0,0.0
16384,Convolvulaceae Cuscuta ceanothi,12,8,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
15760,Cleomaceae Cleomella hillmanii,8,4,0.5,0.5714285714285714,0.5,0.5333333333333333
