label,label_str,total,correct,accuracy,precision,recall,f1
63695,Vochysiaceae Qualea tessmannii,1,0,0.0,0.0,0.0,0.0
39550,Myrsinaceae Myrsine womersleyi,3,3,1.0,0.75,1.0,0.8571428571428571
31572,Lamiaceae Ballota nigra,11,10,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.8695652173913043
54209,Ranunculaceae Thalictrum pubescens,54,45,0.8333333333333334,0.7258064516129032,0.8333333333333334,0.7758620689655172
38187,Melastomataceae Trembleya phlogiformis,11,10,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.8695652173913043
63306,Violaceae Viola bakeri,8,4,0.5,1.0,0.5,0.6666666666666666
63415,Violaceae Viola vallicola,62,46,0.7419354838709677,0.6388888888888888,0.7419354838709677,0.6865671641791045
59169,Sapotaceae Micropholis sanctae-rosae,1,0,0.0,0.0,0.0,0.0
10646,Bignoniaceae Bignonia binata,9,7,0.7777777777777778,0.3684210526315789,0.7777777777777778,0.5
5513,Aspleniaceae Asplenium praemorsum,40,34,0.85,0.8292682926829268,0.85,0.8395061728395061
13141,Bromeliaceae Tillandsia usneoides,65,65,1.0,0.9848484848484849,1.0,0.9923664122137404
52856,Primulaceae Ardisia escallonioides,9,8,0.8888888888888888,0.8,0.8888888888888888,0.8421052631578948
19378,Cyperaceae Rhynchospora megalocarpa,19,17,0.8947368421052632,0.9444444444444444,0.8947368421052632,0.918918918918919
28824,Fagaceae Quercus candicans,7,6,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923
33796,Loasaceae Mentzelia speciosa,10,7,0.7,0.6363636363636364,0.7,0.6666666666666666
45709,Phyllanthaceae Phyllanthus juglandifolius,13,11,0.8461538461538461,0.7857142857142857,0.8461538461538461,0.8148148148148148
49339,Poaceae Koeleria macrantha,27,8,0.2962962962962963,0.6666666666666666,0.2962962962962963,0.41025641025641024
55362,Rosaceae Rubus cuneifolius,22,19,0.8636363636363636,0.9047619047619048,0.8636363636363636,0.8837209302325582
59962,Selaginellaceae Selaginella sylvestris,4,4,1.0,0.6666666666666666,1.0,0.8
54929,Rosaceae Fragaria virginiana,93,76,0.8172043010752689,0.8636363636363636,0.8172043010752689,0.8397790055248618
13042,Bromeliaceae Tillandsia flexuosa,16,16,1.0,0.8888888888888888,1.0,0.9411764705882353
39760,Myrtaceae Corymbia blakei,6,4,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272
29917,Grossulariaceae Ribes echinellum,9,8,0.8888888888888888,0.8,0.8888888888888888,0.8421052631578948
55332,Rosaceae Rosa woodsii,124,94,0.7580645161290323,0.8952380952380953,0.7580645161290323,0.8209606986899562
55282,Rosaceae Rosa arkansana,32,20,0.625,0.5555555555555556,0.625,0.5882352941176471
10101,Asteraceae Xanthium strumarium,98,95,0.9693877551020408,0.95,0.9693877551020408,0.9595959595959594
5550,Aspleniaceae Asplenium schizophyllum,8,6,0.75,0.6666666666666666,0.75,0.7058823529411765
16419,Convolvulaceae Cuscuta umbrosa,3,1,0.3333333333333333,0.25,0.3333333333333333,0.28571428571428575
16384,Convolvulaceae Cuscuta ceanothi,12,6,0.5,0.6,0.5,0.5454545454545454
15760,Cleomaceae Cleomella hillmanii,8,5,0.625,0.5555555555555556,0.625,0.5882352941176471
15761,Cleomaceae Cleomella hillmannii,14,13,0.9285714285714286,0.8125,0.9285714285714286,0.8666666666666666
32316,Lamiaceae Scutellaria integrifolia,49,46,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.9387755102040817
18687,Cyperaceae Cyperus hermaphroditus,11,4,0.36363636363636365,0.3076923076923077,0.36363636363636365,0.33333333333333337
18572,Cyperaceae Cyperus aggregatus,36,35,0.9722222222222222,0.625,0.9722222222222222,0.7608695652173912
33891,Loganiaceae Strychnos araguaensis,2,2,1.0,1.0,1.0,1.0
7551,Asteraceae Gaillardia aristata,48,44,0.9166666666666666,0.88,0.9166666666666666,0.8979591836734694
45983,Pinaceae Pinus remota,11,8,0.7272727272727273,0.8,0.7272727272727273,0.761904761904762
45942,Pinaceae Pinus cembroides,16,14,0.875,0.6363636363636364,0.875,0.7368421052631579
19062,Cyperaceae Fimbristylis vahlii,23,19,0.8260869565217391,0.7916666666666666,0.8260869565217391,0.8085106382978724
